Date,near,far,fair,market,difference,zscore
2021-09-21,ESZ1,ESH2,-14.674771813625739,-7.5,7.174771813625739,
2021-09-22,ESZ1,ESH2,-14.672704848001558,-7.5,7.172704848001558,
2021-09-23,ESZ1,ESH2,-14.669291865963714,-7.5,7.169291865963714,
2021-09-24,ESZ1,ESH2,-14.667383692816657,-7.5,7.1673836928166565,
2021-09-27,ESZ1,ESH2,-14.671553738913644,-7.5,7.171553738913644,
2021-09-28,ESZ1,ESH2,-14.684995548587722,-7.5,7.184995548587722,
2021-09-29,ESZ1,ESH2,-14.682044916518862,-7.5,7.182044916518862,
2021-09-30,ESZ1,ESH2,-14.683955397708814,-7.75,6.933955397708814,
2021-10-01,ESZ1,ESH2,-14.88276541250616,-7.75,7.13276541250616,
2021-10-04,ESZ1,ESH2,-14.688212529942575,-7.75,6.938212529942575,
2021-10-05,ESZ1,ESH2,-14.681388533438621,-7.75,6.931388533438621,-1.9252725619892568
2021-10-06,ESZ1,ESH2,-14.679442199251753,-7.75,6.929442199251753,-1.482572803838151
2021-10-07,ESZ1,ESH2,-14.880110404468724,-7.75,7.130110404468724,0.4589120887720121
2021-10-08,ESZ1,ESH2,-14.786251105258089,-7.75,7.0362511052580885,-0.28457644604831417
2021-10-11,ESZ1,ESH2,-14.789490943328019,-7.75,7.039490943328019,-0.15356888276936595
2021-10-12,ESZ1,ESH2,-14.78823645180455,-7.5,7.288236451804551,2.2796910459933177
2021-10-13,ESZ1,ESH2,-14.60338402234538,-7.5,7.103384022345381,0.39143731958055816
2021-10-14,ESZ1,ESH2,-14.58914913037188,-7.5,7.089149130371879,0.35965858398874534
2021-10-15,ESZ1,ESH2,-14.572118731737646,-7.5,7.072118731737646,0.0911406220981542
2021-10-18,ESZ1,ESH2,-14.567437126674122,-7.5,7.067437126674122,0.10588588329513289
2021-10-19,ESZ1,ESH2,-14.556653759357687,-7.25,7.306653759357687,2.3313878618804513
2021-10-20,ESZ1,ESH2,-14.551948485990579,-7.0,7.551948485990579,3.9019072431805095
2021-10-21,ESZ1,ESH2,-14.65881287585853,-7.0,7.65881287585853,2.9652130864045696
2021-10-22,ESZ1,ESH2,-14.729983251037993,-6.75,7.979983251037993,3.366243806501564
2021-10-25,ESZ1,ESH2,-14.665062422696792,-6.75,7.915062422696792,1.8855558231061382
2021-10-26,ESZ1,ESH2,-14.739579907866755,-6.75,7.989579907866755,1.6653173093120266
2021-10-27,ESZ1,ESH2,-14.68666490607302,-6.5,8.18666490607302,1.810442698759896
2021-10-28,ESZ1,ESH2,-14.682333502050824,-6.25,8.432333502050824,1.9857519578889113
2021-10-29,ESZ1,ESH2,-14.671095076538222,-6.0,8.671095076538222,2.0508083574432443
2021-11-01,ESZ1,ESH2,-14.518101015887623,-6.25,8.268101015887623,0.7943165066442652
2021-11-02,ESZ1,ESH2,-14.693090917797235,-6.25,8.443090917797235,1.0774685453342276
2021-11-03,ESZ1,ESH2,-14.681570929341433,-6.5,8.181570929341433,0.2015951028402605
2021-11-04,ESZ1,ESH2,-14.681817964676156,-6.5,8.181817964676156,0.03083022645339198
2021-11-05,ESZ1,ESH2,-14.678676606391491,-6.5,8.178676606391491,-0.19465705654979357
2021-11-08,ESZ1,ESH2,-14.694790634324818,-6.25,8.444790634324818,0.8980484646111535
2021-11-09,ESZ1,ESH2,-14.707059979258702,-6.5,8.207059979258702,-0.4602917721735529
2021-11-10,ESZ1,ESH2,-14.712899352392924,-6.5,8.212899352392924,-0.6296494751152008
2021-11-11,ESZ1,ESH2,-14.711419321705762,-6.5,8.211419321705762,-0.6620806990650485
2021-11-12,ESZ1,ESH2,-14.756625696526498,-6.25,8.506625696526498,1.2470686697586526
2021-11-15,ESZ1,ESH2,-14.712411541220717,-6.5,8.212411541220717,-0.5528554506179872
2021-11-16,ESZ1,ESH2,-14.567437346845509,-6.25,8.317437346845509,0.3014406515906057
2021-11-17,ESZ1,ESH2,-14.608975103137709,-6.25,8.358975103137709,0.7887083431874431
2021-11-18,ESZ1,ESH2,-14.606085922882812,-6.25,8.356085922882812,0.6182349377079385
2021-11-19,ESZ1,ESH2,-14.604695719860501,-6.0,8.604695719860501,2.66625749118257
2021-11-22,ESZ1,ESH2,-14.773500207698817,-6.0,8.773500207698817,3.07266511618469
2021-11-23,ESZ1,ESH2,-14.634064529445823,-5.75,8.884064529445823,2.6115653880555785
2021-11-24,ESZ1,ESH2,-14.633732027601582,-5.75,8.883732027601582,1.8230375150643277
2021-11-26,ESZ1,ESH2,-14.65235816484801,-6.25,8.40235816484801,-0.4137615115416078
2021-11-29,ESZ1,ESH2,-14.64593463053916,-6.0,8.64593463053916,0.47434139653308743
2021-11-30,ESZ1,ESH2,-14.656329641276898,-6.0,8.656329641276898,0.45526111047755713
2021-12-01,ESZ1,ESH2,-14.665045055713563,-6.0,8.665045055713563,0.35034995832855764
2021-12-02,ESZ1,ESH2,-14.660900482959732,-6.0,8.660900482959732,0.19123545932713554
2021-12-03,ESZ1,ESH2,-14.66440070909266,-6.25,8.41440070909266,-1.3671611596463666
2021-12-06,ESZ1,ESH2,-14.6606786210059,-6.75,7.9106786210059,-4.553510192106485
2021-12-07,ESZ1,ESH2,-14.65020868123247,-6.5,8.15020868123247,-1.5202629898855724
2021-12-08,ESZ1,ESH2,-14.647647624060482,-6.75,7.8976476240604825,-2.0223105404665582
2021-12-09,ESZ1,ESH2,-14.651794722062732,-7.25,7.401794722062732,-3.0142215788108326
2021-12-10,ESZ1,ESH2,-14.634084298428206,-7.5,7.134084298428206,-2.6593761356306955
2021-12-13,ESZ1,ESH2,-14.6499718929972,-9.25,5.3999718929972005,-4.927131439434666
2021-12-14,ESZ1,ESH2,-14.654055751578198,-9.0,5.654055751578198,-2.16326309298175
2021-12-15,ESH2,ESM2,-13.080672218558902,-7.75,5.330672218558902,-1.8846750124854983
2021-12-16,ESH2,ESM2,-12.878331526407237,-7.5,5.378331526407237,-1.4231267252508577
2021-12-17,ESH2,ESM2,-12.795768424372909,-7.5,5.295768424372909,-1.2274959840217865
2021-12-20,ESH2,ESM2,-12.881757649523024,-7.5,5.381757649523024,-0.9459358304299085
2021-12-21,ESH2,ESM2,-12.737681557217002,-7.75,4.987681557217002,-1.1044638013167463
2021-12-22,ESH2,ESM2,-12.494560033522248,-7.75,4.744560033522248,-1.1739473115518775
2021-12-23,ESH2,ESM2,-12.487443900550716,-7.75,4.737443900550716,-1.0613516485561048
2021-12-27,ESH2,ESM2,-12.273790481592187,-7.75,4.5237904815921866,-1.3005650061178395
2021-12-28,ESH2,ESM2,-12.29004595457991,-7.75,4.5400459545799094,-1.6327970838475387
2021-12-29,ESH2,ESM2,-12.300845633172685,-7.75,4.550845633172685,-1.2606497219298698
2021-12-30,ESH2,ESM2,-11.986976918940854,-8.0,3.9869769189408544,-2.5948871560874087
2021-12-31,ESH2,ESM2,-12.229198339749928,-8.0,4.229198339749928,-1.2953863885602364
2022-01-03,ESH2,ESM2,-12.46957842849315,-8.0,4.469578428493151,-0.5228629379612014
2022-01-04,ESH2,ESM2,-12.26662490714898,-8.0,4.26662490714898,-0.9029862167995351
2022-01-05,ESH2,ESM2,-12.332549530943652,-8.0,4.332549530943652,-0.5925742409619532
2022-01-06,ESH2,ESM2,-12.238279964440153,-7.5,4.738279964440153,1.2699224499400452
2022-01-07,ESH2,ESM2,-11.851871015986035,-7.5,4.351871015986035,-0.3638547020505319
2022-01-10,ESH2,ESM2,-11.905802141449385,-7.75,4.155802141449385,-1.1515029469789273
2022-01-11,ESH2,ESM2,-11.979786243801755,-7.75,4.229786243801755,-0.6047102646550226
2022-01-12,ESH2,ESM2,-11.700320854029997,-7.75,3.9503208540299966,-1.7894095311724119
2022-01-13,ESH2,ESM2,-11.854188300957503,-7.75,4.104188300957503,-0.7316758195854445
2022-01-14,ESH2,ESM2,-11.682606166749792,-7.5,4.1826061667497925,-0.4671859526601488
2022-01-18,ESH2,ESM2,-11.826290832905215,-7.5,4.326290832905215,0.2225176357040088
2022-01-19,ESH2,ESM2,-11.155357456201273,-7.5,3.6553574562012727,-2.9431395353289562
2022-01-20,ESH2,ESM2,-11.290905544175985,-7.5,3.7909055441759847,-1.4584111859044568
2022-01-21,ESH2,ESM2,-11.380631290829115,-8.0,3.3806312908291147,-2.51217531587102
2022-01-24,ESH2,ESM2,-11.554557658842896,-8.0,3.5545576588428958,-1.450216506980033
2022-01-25,ESH2,ESM2,-11.634505841309874,-7.75,3.884505841309874,-0.15100407451242218
2022-01-26,ESH2,ESM2,-11.47334358336957,-7.5,3.9733435833695694,0.21621664678183147
2022-01-27,ESH2,ESM2,-11.33436644088306,-7.25,4.084366440883059,0.6985065034407282
2022-01-28,ESH2,ESM2,-10.606660630221086,-7.25,3.3566606302210857,-1.7974769978444414
2022-01-31,ESH2,ESM2,-10.545469813153431,-7.0,3.5454698131534315,-0.8238635749607011
2022-02-01,ESH2,ESM2,-10.354522953100059,-7.0,3.3545229531000587,-1.2717342450289713
2022-02-02,ESH2,ESM2,-10.465154871370032,-7.0,3.465154871370032,-0.7270446786223463
2022-02-03,ESH2,ESM2,-10.457025534809873,-7.0,3.4570255348098726,-0.6685018861482424
2022-02-04,ESH2,ESM2,-10.235416745989824,-6.5,3.7354167459898235,0.4771701405390861
2022-02-07,ESH2,ESM2,-9.70478829750391,-6.5,3.20478829750391,-1.6630022868345973
2022-02-08,ESH2,ESM2,-9.719048318466776,-6.5,3.2190483184667755,-1.3063500929838887
2022-02-09,ESH2,ESM2,-9.440636042105325,-6.5,2.940636042105325,-1.9864301024148838
2022-02-10,ESH2,ESM2,-9.243896411948299,-5.25,3.993896411948299,1.7809964976400636
2022-02-11,ESH2,ESM2,-8.193077281213846,-5.75,2.4430772812138457,-3.3598279421920987
2022-02-14,ESH2,ESM2,-8.280662186109112,-5.5,2.7806621861091116,-1.29581152624616
2022-02-15,ESH2,ESM2,-7.9576706766738425,-5.75,2.2076706766738425,-2.3145980451558943
2022-02-16,ESH2,ESM2,-8.343664435727078,-6.0,2.343664435727078,-1.4301023728195736
2022-02-17,ESH2,ESM2,-8.70032987970535,-6.75,1.9503298797053503,-1.8045447766024445
2022-02-18,ESH2,ESM2,-9.047602692109649,-7.0,2.047602692109649,-1.251267622869369
2022-02-22,ESH2,ESM2,-10.555310692916464,-7.0,3.555310692916464,1.316310305961244
2022-02-23,ESH2,ESM2,-10.594158259183132,-7.0,3.594158259183132,1.24741403903093
2022-02-24,ESH2,ESM2,-10.12060547665078,-8.0,2.1206054766507805,-0.928370583393376
2022-02-25,ESH2,ESM2,-10.85759207900719,-7.5,3.3575920790071905,0.8799074724966001
2022-02-28,ESH2,ESM2,-10.59097393076081,-8.0,2.5909739307608106,-0.07664211586288996
2022-03-01,ESH2,ESM2,-11.244690456791432,-8.5,2.7446904567914316,0.14098169163045768
2022-03-02,ESH2,ESM2,-11.410450080694318,-7.75,3.660450080694318,1.585502495710527
2022-03-03,ESH2,ESM2,-10.996414632023516,-7.75,3.246414632023516,0.6541318441127939
2022-03-04,ESH2,ESM2,-11.06624997363906,-8.0,3.06624997363906,0.2635252117533599
2022-03-07,ESH2,ESM2,-11.435535123999216,-8.25,3.185535123999216,0.31365923874872
2022-03-08,ESH2,ESM2,-11.273791205466296,-8.25,3.0237912054662957,-0.17861171699367567
2022-03-09,ESH2,ESM2,-11.182856080195052,-8.5,2.6828560801950516,-0.8003953600639123
2022-03-10,ESH2,ESM2,-10.913476918222841,-9.25,1.663476918222841,-2.949546230114956
2022-03-11,ESH2,ESM2,-10.890229988899591,-9.0,1.8902299888995913,-1.876142076069138
2022-03-14,ESH2,ESM2,-11.101305299673186,-8.5,2.601305299673186,-0.2840643280698295
2022-03-15,ESH2,ESM2,-10.69869991637097,-8.25,2.4486999163709697,-0.5349486845128667
2022-03-16,ESM2,ESU2,-4.172124125283517,0.75,4.922124125283517,3.4996074756593836
2022-03-17,ESM2,ESU2,-3.1791597162427934,1.0,4.179159716242793,1.4587463247989667
2022-03-18,ESM2,ESU2,-3.405463091553429,1.25,4.655463091553429,1.7185511416832868
2022-03-21,ESM2,ESU2,-3.3577044274697982,1.75,5.107704427469798,1.7703991731664843
2022-03-22,ESM2,ESU2,-2.1490697451163214,2.25,4.399069745116321,0.8422444730949753
2022-03-23,ESM2,ESU2,-1.4901000970930909,2.25,3.740100097093091,0.21560195610589086
2022-03-24,ESM2,ESU2,-1.4310365979408743,2.5,3.9310365979408743,0.2857929733363136
2022-03-25,ESM2,ESU2,-1.1813293122577306,3.5,4.681329312257731,0.8036643144169557
2022-03-28,ESM2,ESU2,-0.5684284515209583,3.5,4.068428451520958,0.001996719960712242
2022-03-29,ESM2,ESU2,-0.22457134808428236,3.5,3.7245713480842824,-0.6435362603857216
2022-03-30,ESM2,ESU2,-0.2772088607380283,3.5,3.7772088607380283,-1.1524300431926588
2022-03-31,ESM2,ESU2,-0.5624241577888824,3.0,3.5624241577888824,-1.407786445133598
2022-04-01,ESM2,ESU2,-0.6852024493346107,3.25,3.9352024493346107,-0.4442361487878607
2022-04-04,ESM2,ESU2,-0.10508367683996767,3.25,3.3550836768399677,-1.5047341229977944
2022-04-05,ESM2,ESU2,-0.5312100625815219,3.5,4.031210062581522,0.2916523738680904
2022-04-06,ESM2,ESU2,-0.015325848436987144,3.5,3.515325848436987,-1.0279273980326815
2022-04-07,ESM2,ESU2,0.12300723273074254,3.5,3.3769927672692575,-1.293500327217073
2022-04-08,ESM2,ESU2,0.13719554410272394,3.75,3.612804455897276,-0.4747629802291617
2022-04-11,ESM2,ESU2,-0.08234940847978578,3.5,3.582349408479786,-0.44317843233702575
2022-04-12,ESM2,ESU2,-0.35025116417909885,3.0,3.350251164179099,-1.3410839461206734
2022-04-13,ESM2,ESU2,-0.27096010629884404,3.25,3.520960106298844,-0.3736057090268904
2022-04-14,ESM2,ESU2,-0.701693932022863,3.25,3.951693932022863,1.5857228392007547
2022-04-18,ESM2,ESU2,-0.5416873495614709,3.25,3.791687349561471,0.6511891677186133
2022-04-19,ESM2,ESU2,-0.23905975004163338,3.75,3.9890597500416334,1.5645066487027761
2022-04-20,ESM2,ESU2,0.17333796739058016,4.0,3.82666203260942,0.6127962742598475
2022-04-21,ESM2,ESU2,0.3181277007006429,4.25,3.931872299299357,1.235754212409432
2022-04-22,ESM2,ESU2,0.5458382798842649,5.0,4.454161720115735,3.2119672162830404
2022-04-25,ESM2,ESU2,1.2585562701378876,4.5,3.2414437298621124,-1.8029108991338831
2022-04-26,ESM2,ESU2,0.06028516577407572,4.25,4.189714834225924,1.200654674938294
