Date,near,far,fair,market,difference,zscore
2022-04-29,ESM2,ESU2,0.6425426662990503,4.75,4.10745733370095,1.1222819511877853
2022-05-02,ESM2,ESU2,0.9312659189690748,4.25,3.318734081030925,-1.426135659599226
2022-05-03,ESM2,ESU2,0.8029207877070803,4.5,3.6970792122929197,-0.15269907804278354
2022-05-04,ESM2,ESU2,1.5640439702747244,4.25,2.6859560297252756,-3.334049484119219
2022-05-05,ESM2,ESU2,1.3876986063069126,3.75,2.3623013936930874,-3.36403912325896
2022-05-06,ESM2,ESU2,0.8204696934908497,3.5,2.6795303065091503,-1.9362100850277308
2022-05-09,ESM2,ESU2,0.18962940407891438,2.5,2.3103705959210856,-2.405166782578604
2022-05-10,ESM2,ESU2,0.06831224438519712,3.0,2.931687755614803,-0.9958390610633246
2022-05-11,ESM2,ESU2,-0.0709439615948213,3.0,3.0709439615948213,-0.69801888371386
2022-05-12,ESM2,ESU2,0.5374346846333538,2.5,1.9625653153666462,-2.4192781834738653
2022-05-13,ESM2,ESU2,0.4471210863293891,3.0,2.552878913670611,-1.1997691756727489
2022-05-16,ESM2,ESU2,0.18144748362738028,3.0,2.8185525163726197,-0.7202838758380488
2022-05-17,ESM2,ESU2,0.45216669010096666,3.5,3.0478333098990333,-0.3403861085939142
2022-05-18,ESM2,ESU2,0.24910279298410387,2.75,2.500897207015896,-1.0453296896288955
2022-05-19,ESM2,ESU2,0.11259526998628644,2.5,2.3874047300137136,-1.103152514272753
2022-05-20,ESM2,ESU2,-0.10935581599278521,2.25,2.359355815992785,-1.0373385634331889
2022-05-23,ESM2,ESU2,-0.17810992225577138,2.5,2.6781099222557714,-0.4877028128127153
2022-05-24,ESM2,ESU2,-0.2364284951559057,2.25,2.4864284951559057,-0.7322865620318173
2022-05-25,ESM2,ESU2,0.0077041712343088875,2.5,2.492295828765691,-0.6515332025243441
2022-05-26,ESM2,ESU2,0.2448146833366991,2.75,2.505185316663301,-0.5536624615121053
2022-05-27,ESM2,ESU2,0.5666364266990058,2.75,2.183363573300994,-1.1170043728270111
2022-05-31,ESM2,ESU2,-0.05214711212556722,3.25,3.302147112125567,1.6013876048415643
2022-06-01,ESM2,ESU2,0.15427225938128686,2.75,2.595727740618713,-0.13589826483699424
2022-06-02,ESM2,ESU2,0.5627569635580585,2.75,2.1872430364419415,-1.2711634384091015
2022-06-03,ESM2,ESU2,0.335658344899457,2.5,2.164341655100543,-1.2201678325904883
2022-06-06,ESM2,ESU2,0.10110508352227043,2.5,2.3988949164777296,-0.4729802383639808
2022-06-07,ESM2,ESU2,0.28246734647473204,2.25,1.967532653525268,-1.6887142856303516
2022-06-08,ESM2,ESU2,0.24191538674222102,2.0,1.758084613257779,-2.1230836980698444
2022-06-09,ESM2,ESU2,-0.015310568848690309,1.25,1.2653105688486903,-3.0998324189482553
2022-06-10,ESM2,ESU2,-0.4344069038156704,1.5,1.9344069038156704,-0.9972957140478224
2022-06-13,ESM2,ESU2,-0.8855765016573969,3.0,3.885576501657397,3.3552019206232875
2022-06-14,ESM2,ESU2,-0.3298535798512603,3.5,3.8298535798512603,2.4669625465588028
2022-06-15,ESU2,ESZ2,12.639099947456089,14.75,2.1109000525439114,-0.6055359573832434
2022-06-16,ESU2,ESZ2,12.291666220768093,14.25,1.958333779231907,-0.7817259274599241
2022-06-17,ESU2,ESZ2,12.11539673242396,15.0,2.88460326757604,0.7244677371887447
2022-06-21,ESU2,ESZ2,12.510508058771393,15.5,2.989491941228607,0.839157284523355
2022-06-22,ESU2,ESZ2,12.87629588434902,15.25,2.3737041156509804,-0.16015844812303018
2022-06-23,ESU2,ESZ2,12.722551578756793,15.25,2.527448421243207,0.09730471211694125
2022-06-24,ESU2,ESZ2,13.254981532399597,15.25,1.9950184676004028,-0.7179998959199352
2022-06-27,ESU2,ESZ2,12.993640991243865,15.75,2.756359008756135,0.47522819545377476
2022-06-28,ESU2,ESZ2,12.538472296421787,15.25,2.711527703578213,0.38665972343734023
2022-06-29,ESU2,ESZ2,12.474364651125597,15.25,2.7756353488744026,0.4436659861360373
2022-06-30,ESU2,ESZ2,12.37733807361019,14.5,2.12266192638981,-0.5149087103155473
2022-07-01,ESU2,ESZ2,11.991830745198968,14.0,2.0081692548010324,-0.6530486773645038
2022-07-05,ESU2,ESZ2,11.281351845002973,13.75,2.4686481549970267,0.07341671649649835
2022-07-06,ESU2,ESZ2,11.715248673408041,14.5,2.784751326591959,0.5382731523180951
2022-07-07,ESU2,ESZ2,12.197399040373512,15.0,2.8026009596264885,0.5322944392900261
2022-07-08,ESU2,ESZ2,12.859914057478363,16.0,3.1400859425216368,0.9951029996164779
2022-07-11,ESU2,ESZ2,12.655926515145893,15.5,2.844073484854107,0.4363241367453771
2022-07-12,ESU2,ESZ2,12.59816668582198,15.0,2.4018333141780204,-0.4343988680897378
2022-07-13,ESU2,ESZ2,12.278001618730286,18.0,5.721998381269714,5.67205298280996
2022-07-14,ESU2,ESZ2,14.128425949275425,17.0,2.8715740507245755,0.13350056060167503
2022-07-15,ESU2,ESZ2,15.399268302312521,16.75,1.350731697687479,-1.7132998735586458
2022-07-18,ESU2,ESZ2,13.426116679435381,16.5,3.0738833205646188,0.4744450859116586
2022-07-19,ESU2,ESZ2,14.234137841876418,17.5,3.265862158123582,0.6462787933409366
2022-07-20,ESU2,ESZ2,14.336593692484712,17.5,3.163406307515288,0.49482901998823886
2022-07-21,ESU2,ESZ2,14.781896600823984,17.5,2.718103399176016,-0.04747262103674652
2022-07-22,ESU2,ESZ2,14.330987483555873,16.75,2.419012516444127,-0.42628231026603136
2022-07-25,ESU2,ESZ2,13.151815743622137,17.0,3.8481842563778628,1.287392541958844
2022-07-26,ESU2,ESZ2,13.220442642517355,16.5,3.279557357482645,0.490797983156978
2022-07-27,ESU2,ESZ2,13.882609627956754,16.75,2.8673903720432463,-0.02484023174704272
2022-07-28,ESU2,ESZ2,14.367223099505281,16.5,2.1327769004947186,-0.8947502781476383
2022-07-29,ESU2,ESZ2,14.076926770666432,17.0,2.9230732293335677,0.06758084162227096
2022-08-01,ESU2,ESZ2,14.042017104577099,17.0,2.9579828954229015,0.0629869361987794
2022-08-02,ESU2,ESZ2,13.846683596785624,17.25,3.403316403214376,0.5466533603926917
2022-08-03,ESU2,ESZ2,14.682503408491357,17.75,3.067496591508643,0.0837550162660616
2022-08-04,ESU2,ESZ2,15.488460684849997,17.5,2.011539315150003,-1.217544059930348
2022-08-05,ESU2,ESZ2,15.125940995597375,18.5,3.374059004402625,0.4709579641569072
2022-08-08,ESU2,ESZ2,15.962402523126912,18.25,2.2875974768730885,-0.8150565945322423
2022-08-09,ESU2,ESZ2,16.146812638820847,18.0,1.8531873611791525,-1.2699511458906672
2022-08-10,ESU2,ESZ2,16.949237131807422,17.75,0.800762868192578,-2.376275792760625
2022-08-11,ESU2,ESZ2,16.35428271311048,17.75,1.3957172868895213,-1.7103322616228114
2022-08-12,ESU2,ESZ2,16.78643432041281,18.25,1.463565679587191,-1.4253294852435385
2022-08-15,ESU2,ESZ2,16.926504969122107,18.5,1.5734950308778934,-1.3102218479103471
2022-08-16,ESU2,ESZ2,17.095836631217026,18.5,1.4041633687829744,-1.3855316381102138
2022-08-17,ESU2,ESZ2,17.070763551365417,18.5,1.4292364486345832,-1.2136783213036562
2022-08-18,ESU2,ESZ2,17.669927705120244,18.25,0.5800722948797556,-2.0936960973659136
2022-08-19,ESU2,ESZ2,16.738251404062794,18.25,1.5117485959372061,-0.7947975807169174
2022-08-22,ESU2,ESZ2,15.832872085294184,17.75,1.9171279147058158,-0.3074489078940684
2022-08-23,ESU2,ESZ2,16.0830899634675,17.5,1.4169100365324994,-0.8024335029836585
2022-08-24,ESU2,ESZ2,16.154920092272732,17.75,1.5950799077272677,-0.5082740692031592
2022-08-25,ESU2,ESZ2,16.906386101513817,18.25,1.3436138984861827,-0.7516791897725911
2022-08-26,ESU2,ESZ2,15.825131309734843,17.25,1.424868690265157,-0.5959256422492932
2022-08-29,ESU2,ESZ2,15.197417369810864,17.25,2.0525826301891357,0.2668622065329877
2022-08-30,ESU2,ESZ2,15.159424587398007,17.0,1.8405754126019929,0.06019085831960266
2022-08-31,ESU2,ESZ2,15.191694933592316,16.75,1.5583050664076836,-0.2442004340292307
2022-09-01,ESU2,ESZ2,15.46130930730169,16.5,1.0386906926983102,-1.0617201297639995
2022-09-02,ESU2,ESZ2,15.251545096555674,16.0,0.7484549034443262,-1.4657736074415586
2022-09-06,ESU2,ESZ2,14.285552265478145,16.25,1.9644477345218547,1.1702619207631157
2022-09-07,ESU2,ESZ2,15.199319133808785,16.75,1.5506808661912146,0.26130300759007974
2022-09-08,ESU2,ESZ2,15.943168042232628,16.75,0.8068319577673719,-1.5932927215314658
2022-09-09,ESU2,ESZ2,16.565709638125554,18.25,1.6842903618744458,0.6484163196945905
2022-09-12,ESU2,ESZ2,16.823429282452707,19.25,2.4265707175472926,2.485226205164639
2022-09-13,ESU2,ESZ2,15.515868950729327,19.0,3.4841310492706725,4.405995886734337
2022-09-14,ESZ2,ESH3,25.047544113894674,30.0,4.9524558861053265,5.299803859516013
2022-09-15,ESZ2,ESH3,25.519346291420334,30.25,4.730653708579666,3.0202654023779925
2022-09-16,ESZ2,ESH3,25.371112783940134,29.25,3.8788872160598658,1.6511699028242166
2022-09-19,ESZ2,ESH3,25.478229728843417,29.75,4.2717702711565835,1.796715978200497
2022-09-20,ESZ2,ESH3,25.24821931457882,29.5,4.251780685421181,1.557862765676162
2022-09-21,ESZ2,ESH3,24.403339593455257,29.5,5.096660406544743,2.0069089570464937
2022-09-22,ESZ2,ESH3,24.659724733155144,29.25,4.590275266844856,1.3898014629228108
2022-09-23,ESZ2,ESH3,24.160401970443672,28.5,4.339598029556328,1.0819931298587564
2022-09-26,ESZ2,ESH3,23.941590422248737,27.75,3.808409577751263,0.6332349962480186
2022-09-27,ESZ2,ESH3,23.897254360990246,27.25,3.352745639009754,0.2633323183503189
2022-09-28,ESZ2,ESH3,24.279087496821376,27.5,3.2209125031786243,0.13454496508512623
2022-09-29,ESZ2,ESH3,22.693468765633042,26.5,3.8065312343669575,0.4867213172925192
2022-09-30,ESZ2,ESH3,22.743257320302746,26.5,3.756742679697254,0.3866875699392387
2022-10-03,ESZ2,ESH3,23.34664299640417,27.5,4.153357003595829,0.6054082056229704
2022-10-04,ESZ2,ESH3,24.432951895128554,29.0,4.567048104871446,0.8735328225113469
2022-10-05,ESZ2,ESH3,24.856079724707342,29.0,4.143920275292658,0.43028414079465543
2022-10-06,ESZ2,ESH3,24.70327776761542,28.75,4.046722232384582,0.2607649658614938
2022-10-07,ESZ2,ESH3,23.674742612792215,28.5,4.825257387207785,1.0934883944709914
2022-10-10,ESZ2,ESH3,23.21568898868327,28.25,5.034311011316731,1.456816389886934
2022-10-11,ESZ2,ESH3,23.807284356327727,27.75,3.9427156436722726,-0.49080640800829534
2022-10-12,ESZ2,ESH3,23.958568001537515,28.0,4.041431998462485,-0.3696338097629615
2022-10-13,ESZ2,ESH3,25.156562514200687,30.0,4.843437485799313,1.282098800192556
2022-10-14,ESZ2,ESH3,25.34359114392055,29.0,3.6564088560794517,-1.0544778782364856
2022-10-17,ESZ2,ESH3,26.525515901309518,30.25,3.724484098690482,-0.8839555055189685
2022-10-18,ESZ2,ESH3,26.94990710524553,30.75,3.8000928947544708,-0.6750294983272603
2022-10-19,ESZ2,ESH3,26.699227740278275,30.75,4.050772259721725,-0.16105531451317326
2022-10-20,ESZ2,ESH3,26.707476908282388,30.5,3.7925230917176123,-0.5982467681803573
2022-10-21,ESZ2,ESH3,27.919248731106563,30.75,2.8307512688934366,-2.539019898565796
2022-10-24,ESZ2,ESH3,27.561641770403185,31.75,4.188358229596815,0.4015160794273406
2022-10-25,ESZ2,ESH3,28.151964625823894,31.75,3.5980353741761064,-0.7176151788279819
2022-10-26,ESZ2,ESH3,27.803876313443197,31.5,3.6961236865568026,-0.5731657972296724
2022-10-27,ESZ2,ESH3,27.334606185116172,30.75,3.415393814883828,-1.205805876975241
2022-10-28,ESZ2,ESH3,28.065175735520825,32.25,4.184824264479175,0.34392010130147893
2022-10-31,ESZ2,ESH3,27.72517211038212,32.0,4.274827889617882,0.47720069967989054
2022-11-01,ESZ2,ESH3,27.96438591439255,32.25,4.285614085607449,0.4841610769703842
2022-11-02,ESZ2,ESH3,27.090243724192987,31.0,3.9097562758070126,-0.213589754497717
2022-11-03,ESZ2,ESH3,26.807796790480097,30.75,3.942203209519903,-0.12718454608417698
2022-11-04,ESZ2,ESH3,27.71635557155878,30.75,3.033644428441221,-1.8973478163034039
2022-11-07,ESZ2,ESH3,27.946067310124818,31.5,3.5539326898751824,-0.6953148802752426
2022-11-08,ESZ2,ESH3,28.184221141386843,31.75,3.5657788586131574,-0.60876831859424
2022-11-09,ESZ2,ESH3,27.739587035567183,30.5,2.760412964432817,-2.3486558587949533
2022-11-10,ESZ2,ESH3,30.150541576709657,32.5,2.3494584232903435,-2.781808745917184
2022-11-11,ESZ2,ESH3,30.545085507304066,32.75,2.2049144926959343,-2.690699630384797
2022-11-14,ESZ2,ESH3,28.873731813727318,33.0,4.126268186272682,0.9190600450181703
